Label,Aspect Ratio,Mean Radius,Equivalent Radius,Area
23,1.2221446118002763,11.22687448845218,10.500693969433097,1341
24,1.2335454264921302,11.296510695808012,10.533174248751454,1250
25,1.2306458664565425,10.858625624404992,10.132823883491572,1204
27,1.2461355021414655,11.849753856055647,11.011696664571263,1385
38,1.2263978411050203,11.071477361513697,10.343363414627904,1191
46,1.2296625195173996,11.330653362243266,10.576118498237742,1337
57,1.235446170376948,11.731971507705353,10.933596869872623,1389
81,1.232445902152982,11.71771736280997,10.929167030877126,1225
87,1.2210325655759815,11.18707688835703,10.46664611645921,1343
98,1.2275393222623199,12.312851252196353,11.499531889970593,1351
108,1.3155766007653902,12.054463082415753,11.0012615792841,1345
117,1.2381266224518495,12.075592713456953,11.245707137405823,1369
134,1.2303292995211517,12.231153833235824,11.414589723967378,1357
145,1.2219882718578223,11.208818676281455,10.484253126232858,1342
158,1.2291464584316396,12.145001025979472,11.337823131693444,1362
160,1.2299379930642007,10.945292838070985,10.215657245155274,1199
181,1.40874264733822,11.7711836247071,10.50049035662248,1336
192,1.2305578578367766,10.912214002110684,10.183073109203999,1201
203,1.2230001435999087,10.949988823999336,10.239329212926947,1357
206,1.232380656200359,10.702590917707289,9.982530248855022,1213
222,1.4331265313228008,11.481965909542835,10.184070749186224,1196
