Image,A,B,Ap,An,Bn,A1,A2,Volume
pf_A_2.07_A2_1.25_R_1.0.vti,1.75,1.24,1.57,2.17,1.3,2.07,1.25,5639.0
pf_A_2.07_A2_1.5_R_0.0.vti,2.1,1.5,1.71,2.29,1.45,2.07,1.5,6117.0
pf_A_2.07_A2_1.5_R_0.25.vti,2.08,1.49,1.7,2.14,1.5,2.07,1.5,5685.0
pf_A_2.07_A2_1.5_R_0.5.vti,2.01,1.5,1.64,2.14,1.5,2.07,1.5,5593.0
pf_A_2.07_A2_1.5_R_0.75.vti,1.97,1.5,1.61,2.33,1.56,2.07,1.5,5587.0
pf_A_2.07_A2_1.5_R_1.0.vti,1.89,1.48,1.55,2.33,1.56,2.07,1.5,5483.0
pf_A_2.49_A2_1.0_R_0.0.vti,2.49,1.0,2.49,2.5,1.0,2.49,1.0,6185.0
pf_A_2.49_A2_1.0_R_0.25.vti,2.52,1.0,2.52,2.8,1.0,2.49,1.0,5691.0
pf_A_2.49_A2_1.0_R_0.5.vti,2.39,1.0,2.39,2.8,1.0,2.49,1.0,5651.0
pf_A_2.49_A2_1.0_R_0.75.vti,2.26,1.0,2.26,2.6,1.0,2.49,1.0,5739.0
pf_A_2.49_A2_1.0_R_1.0.vti,2.03,1.0,2.03,2.4,1.0,2.49,1.0,5663.0
pf_A_2.49_A2_1.25_R_0.0.vti,2.47,1.25,2.21,2.67,1.23,2.49,1.25,6071.0
pf_A_2.49_A2_1.25_R_0.25.vti,2.51,1.25,2.25,2.5,1.25,2.49,1.25,5663.0
pf_A_2.49_A2_1.25_R_0.5.vti,2.5,1.25,2.23,3.0,1.25,2.49,1.25,5625.0
pf_A_2.49_A2_1.25_R_0.75.vti,2.33,1.25,2.09,2.8,1.27,2.49,1.25,5629.0
pf_A_2.49_A2_1.25_R_1.0.vti,2.25,1.24,2.02,2.8,1.27,2.49,1.25,5573.0
pf_A_2.49_A2_1.5_R_0.0.vti,2.5,1.49,2.04,2.43,1.55,2.49,1.5,6107.0
pf_A_2.49_A2_1.5_R_0.25.vti,2.49,1.5,2.03,2.67,1.45,2.49,1.5,5691.0
pf_A_2.49_A2_1.5_R_0.5.vti,2.41,1.49,1.97,2.67,1.6,2.49,1.5,5667.0
pf_A_2.49_A2_1.5_R_0.75.vti,2.32,1.5,1.89,2.5,1.5,2.49,1.5,5639.0
pf_A_2.49_A2_1.5_R_1.0.vti,2.0,1.51,1.63,2.33,1.56,2.49,1.5,5755.0
pf_A_2.99_A2_1.0_R_0.0.vti,2.96,1.0,2.96,3.2,1.0,2.99,1.0,6127.0
pf_A_2.99_A2_1.0_R_0.25.vti,3.07,1.0,3.07,3.0,1.0,2.99,1.0,5651.0
pf_A_2.99_A2_1.0_R_0.5.vti,2.97,1.0,2.97,3.5,1.0,2.99,1.0,5593.0
pf_A_2.99_A2_1.0_R_0.75.vti,2.79,1.0,2.79,3.5,1.0,2.99,1.0,5577.0
pf_A_2.99_A2_1.0_R_1.0.vti,2.7,1.0,2.7,3.25,1.0,2.99,1.0,5465.0
pf_A_2.99_A2_1.25_R_0.0.vti,3.02,1.25,2.69,3.4,1.21,2.99,1.25,6097.0
pf_A_2.99_A2_1.25_R_0.25.vti,3.0,1.25,2.68,3.2,1.23,2.99,1.25,5693.0
pf_A_2.99_A2_1.25_R_0.5.vti,2.88,1.25,2.58,3.0,1.25,2.99,1.25,5641.0
pf_A_2.99_A2_1.25_R_0.75.vti,2.78,1.25,2.48,3.0,1.25,2.99,1.25,5585.0
pf_A_2.99_A2_1.25_R_1.0.vti,2.39,1.26,2.13,2.8,1.27,2.99,1.25,5897.0
pf_A_2.99_A2_1.5_R_0.0.vti,3.0,1.5,2.45,3.0,1.5,2.99,1.5,6069.0
pf_A_2.99_A2_1.5_R_0.25.vti,3.05,1.51,2.48,3.4,1.55,2.99,1.5,5667.0
pf_A_2.99_A2_1.5_R_0.5.vti,2.88,1.49,2.37,3.2,1.45,2.99,1.5,5661.0
pf_A_2.99_A2_1.5_R_0.75.vti,2.72,1.52,2.21,3.2,1.45,2.99,1.5,5695.0
pf_A_2.99_A2_1.5_R_1.0.vti,2.48,1.48,2.03,3.0,1.5,2.99,1.5,5685.0
pf_A_3.58_A2_1.0_R_0.0.vti,3.59,1.0,3.59,4.25,1.0,3.58,1.0,6045.0
pf_A_3.58_A2_1.0_R_0.25.vti,3.58,1.0,3.58,4.0,1.0,3.58,1.0,5765.0
pf_A_3.58_A2_1.0_R_0.5.vti,3.43,1.0,3.43,3.75,1.0,3.58,1.0,5729.0
pf_A_3.58_A2_1.0_R_0.75.vti,3.26,1.0,3.26,3.75,1.0,3.58,1.0,5645.0
pf_A_3.58_A2_1.0_R_1.0.vti,2.83,1.0,2.83,3.5,1.0,3.58,1.0,5913.0
pf_A_3.58_A2_1.25_R_0.0.vti,3.6,1.25,3.22,3.6,1.29,3.58,1.25,6039.0
pf_A_3.58_A2_1.25_R_0.25.vti,3.68,1.24,3.3,4.25,1.21,3.58,1.25,5667.0
pf_A_3.58_A2_1.25_R_0.5.vti,3.46,1.24,3.11,4.25,1.31,3.58,1.25,5635.0
pf_A_3.58_A2_1.25_R_0.75.vti,3.23,1.25,2.89,4.0,1.23,3.58,1.25,5647.0
pf_A_3.58_A2_1.25_R_1.0.vti,3.06,1.24,2.75,3.75,1.25,3.58,1.25,5647.0
pf_A_3.58_A2_1.5_R_0.0.vti,3.55,1.5,2.9,3.8,1.46,3.58,1.5,6023.0
pf_A_3.58_A2_1.5_R_0.25.vti,3.62,1.49,2.96,3.6,1.5,3.58,1.5,5643.0
pf_A_3.58_A2_1.5_R_0.5.vti,3.6,1.51,2.93,4.5,1.5,3.58,1.5,5533.0
pf_A_3.58_A2_1.5_R_0.75.vti,3.38,1.5,2.76,4.25,1.55,3.58,1.5,5517.0
pf_A_3.58_A2_1.5_R_1.0.vti,3.27,1.48,2.68,4.0,1.45,3.58,1.5,5419.0
pf_A_4.3_A2_1.0_R_0.0.vti,4.23,1.0,4.23,4.5,1.0,4.3,1.0,6085.0
pf_A_4.3_A2_1.0_R_0.25.vti,4.57,1.0,4.57,4.25,1.0,4.3,1.0,5645.0
pf_A_4.3_A2_1.0_R_0.5.vti,4.31,1.0,4.31,5.33,1.0,4.3,1.0,5571.0
pf_A_4.3_A2_1.0_R_0.75.vti,4.01,1.0,4.01,5.33,1.0,4.3,1.0,5587.0
pf_A_4.3_A2_1.0_R_1.0.vti,3.93,1.0,3.93,5.0,1.0,4.3,1.0,5407.0
pf_A_4.3_A2_1.25_R_0.0.vti,4.27,1.25,3.82,4.75,1.27,4.3,1.25,6049.0
pf_A_4.3_A2_1.25_R_0.25.vti,4.27,1.25,3.82,4.5,1.2,4.3,1.25,5699.0
pf_A_4.3_A2_1.25_R_0.5.vti,4.18,1.24,3.75,4.5,1.29,4.3,1.25,5615.0
pf_A_4.3_A2_1.25_R_0.75.vti,4.22,1.27,3.75,4.25,1.21,4.3,1.25,5465.0
pf_A_4.3_A2_1.25_R_1.0.vti,4.22,1.23,3.81,5.67,1.31,4.3,1.25,5091.0
pf_A_4.3_A2_1.5_R_0.0.vti,4.37,1.51,3.56,5.25,1.5,4.3,1.5,5931.0
pf_A_4.3_A2_1.5_R_0.25.vti,4.26,1.48,3.5,4.75,1.46,4.3,1.5,5661.0
pf_A_4.3_A2_1.5_R_0.5.vti,4.1,1.51,3.34,4.75,1.58,4.3,1.5,5667.0
pf_A_4.3_A2_1.5_R_0.75.vti,3.85,1.49,3.15,4.5,1.5,4.3,1.5,5673.0
pf_A_4.3_A2_1.5_R_1.0.vti,3.45,1.51,2.8,4.25,1.55,4.3,1.5,5857.0
pf_A_5.16_A2_1.0_R_0.0.vti,5.2,1.0,5.2,6.33,1.0,5.16,1.0,6031.0
pf_A_5.16_A2_1.0_R_0.25.vti,5.07,1.0,5.07,6.0,1.0,5.16,1.0,5643.0
pf_A_5.16_A2_1.0_R_0.5.vti,4.82,1.0,4.82,5.67,1.0,5.16,1.0,5659.0
pf_A_5.16_A2_1.0_R_0.75.vti,4.47,1.0,4.47,5.67,1.0,5.16,1.0,5675.0
pf_A_5.16_A2_1.0_R_1.0.vti,4.12,1.0,4.12,5.33,1.0,5.16,1.0,5955.0
pf_A_5.16_A2_1.25_R_0.0.vti,5.27,1.25,4.72,5.0,1.25,5.16,1.25,5957.0
pf_A_5.16_A2_1.25_R_0.25.vti,5.26,1.25,4.7,6.33,1.27,5.16,1.25,5611.0
