Image Number,Label,Aspect Ratio,Mean Radius,Equivalent Radius,Area
0,23,1.5618996263452767,21.235146802159633,18.30223921324436,907
0,24,15.080653953374874,65.83836330634843,26.648471338902713,903
0,25,19.10247524033846,77.97760396152741,29.17024015036181,1000
0,26,1.0000159133030004,17.56266460556451,17.5625714465517,969
0,39,1.0000134820532884,18.063001746553766,18.06292057183267,1025
0,49,1.017741325219246,17.671860934289167,17.56857278234461,964
0,59,1.0089598639821247,18.328539135558472,18.274123445649572,1046
0,61,1.0048015265149686,17.48614812136791,17.458250639555896,956
0,79,1.0062619107565045,18.29526590205144,18.257236774491695,1045
0,88,1.00606669876876,18.27597708366523,18.239167575855326,1043
0,99,1.0143265982706784,18.2538223377541,18.167474026120026,1032
0,111,17.254662275673525,69.7975382230063,27.01083131920463,887
0,119,1.0128672646828016,18.32884888959396,18.25090252739732,1042
0,131,1.0034453640934893,18.243400340423754,18.222496617207643,1042
0,138,1.007789155689496,17.493797354443146,17.448611156645242,954
0,150,1.0098602583006295,18.327948236391908,18.26810177397446,1045
0,159,21.885493776536805,77.49200027434891,27.703719935021258,862
0,171,1.0090245060236591,18.32036263489764,18.265581148815123,1045
0,182,1.0213088045673422,17.721160738020593,17.59704749371499,966
0,192,1.0112735742772179,18.29683883576643,18.228594180460597,1040
0,199,1.003898785374694,18.265025268792314,18.241349641849474,1044
1,23,3.865841217975652,27.262491242941383,17.370708604157347,604
1,24,7.986654964439841,38.957823937353986,19.489755144998984,597
1,25,18.848100888400353,63.116499169778905,23.716669575386167,664
1,26,1.208183677884335,15.341479951616254,14.40421523206191,612
1,39,1.1697820111284984,16.086810102733228,15.267512668547456,695
1,49,1.2047876511059408,15.257193804897259,14.338525524360453,607
1,59,1.271570406468286,16.808268652291417,15.514680757456958,698
1,61,1.300747500195689,15.9443107184682,14.606340340986836,614
1,79,1.264881574853177,16.72793757576243,15.46770131001935,695
1,88,1.1878416823176197,16.187171254950588,15.284507209308972,693
1,99,1.2738089507926664,16.83510384644385,15.53034252300847,699
1,111,14.37993763346947,49.99192800889023,20.558001121757265,546
1,119,1.1768668857141005,15.995546658867964,15.150372328612926,683
1,131,1.190172315497219,16.28467162700903,15.366527033357622,700
1,138,1.2053398303370548,15.310889521863439,14.386790521284679,611
1,150,1.267669762494991,16.961837344595924,15.672472523834994,713
